host_name,planet_name,disposition,orbital_period_days,semi_major_axis_au,eccentricity,inclination_deg,planet_radius_re,planet_radius_rj,planet_mass_me,planet_mass_mj,planet_density_gcm3,transit_depth_ppm,tansit_duration_hrs,impact_parameter,a_over_rstar,radius_ratio,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_density_cgs,stellar_luminosity_lsun,stellar_age_gyr,stellar__rot_period_days,planet_insolation_earth,planet_eq_temp_k,ra_deg,dec_deg,pm_ra_masyr,pm_dec_masyr,parallax_mas,distance_pc,snr_model,snr_single_event,snr_multi_event,depth_source_unit,source_catalog
K00752.01,,CONFIRMED,9.48803557,0.0853,0.0,89.66,2.26,,,,,615.8,2.9575,0.146,24.81,0.022344,5455.0,4.467,0.14,0.927,0.919,3.20796,,,,93.59,793.0,291.93423,48.141651,,,,,35.8,5.135849,28.47082,615.8,kepler
K00752.02,,CONFIRMED,54.4183827,0.2734,0.0,89.57,2.83,,,,,874.8,4.507,0.586,77.9,0.027954,5455.0,4.467,0.14,0.927,0.919,3.02368,,,,9.11,443.0,291.93423,48.141651,,,,,25.8,7.027669,20.109507,874.8,kepler
K00753.01,,CANDIDATE,19.89913995,0.1419,0.0,88.96,14.6,,,,,10829.0,1.7822,0.969,53.5,0.154046,5853.0,4.544,-0.18,0.868,0.961,7.29555,,,,39.3,638.0,297.00482,48.134129,,,,,76.3,37.159767,187.4491,10829.0,kepler
K00754.01,,FALSE POSITIVE,1.736952453,0.0267,0.0,67.09,33.46,,,,,8079.2,2.40641,1.276,3.278,0.387394,5805.0,4.564,-0.52,0.791,0.836,0.2208,,,,891.96,1395.0,285.53461,48.28521,,,,,505.6,39.06655,541.8951,8079.2,kepler
K00755.01,,CONFIRMED,2.525591777,0.0374,0.0,85.41,2.75,,,,,603.3,1.6545,0.701,8.75,0.024064,6031.0,4.438,0.07,1.046,1.095,1.98635,,,,926.16,1406.0,288.75488,48.2262,,,,,40.9,4.749945,33.1919,603.3,kepler
K00756.01,,CONFIRMED,11.09432054,0.0992,0.0,88.11,3.9,,,,,1517.5,4.5945,0.538,16.36,0.036779,6046.0,4.486,-0.08,0.972,1.053,0.67324,,,,114.81,835.0,296.28613,48.22467,,,,,66.5,9.046456,55.204865,1517.5,kepler
K00756.02,,CONFIRMED,4.13443512,0.0514,0.0,83.72,2.77,,,,,686.0,3.1402,0.762,6.96,0.026133,6046.0,4.486,-0.08,0.972,1.053,0.37377,,,,427.65,1160.0,296.28613,48.22467,,,,,40.2,5.500643,33.546658,686.0,kepler
K00756.03,,CONFIRMED,2.56658897,0.0374,0.0,82.17,1.59,,,,,226.5,2.429,0.755,5.54,0.014983,6046.0,4.486,-0.08,0.972,1.053,0.48909,,,,807.74,1360.0,296.28613,48.22467,,,,,15.0,4.3886313,12.325094,226.5,kepler
K00114.01,,FALSE POSITIVE,7.36178958,0.082,0.0,60.92,39.21,,,,,233.7,5.022,1.169,2.4,0.183387,6227.0,3.986,0.0,1.958,1.358,0.00485,,,,767.22,1342.0,298.86435,42.151569,,,,,47.7,10.964684,46.15308,233.7,kepler
K00757.01,,CONFIRMED,16.06864674,0.1158,0.0,89.92,5.76,,,,,4914.3,3.5347,0.052,36.85,0.062161,5031.0,4.485,0.16,0.848,0.801,3.6659,,,,30.75,600.0,286.99948,48.37579,,,,,161.9,20.457163,137.44981,4914.3,kepler
K00001.01,,CONFIRMED,2.470613377,0.0354,0.0,84.41,13.04,,,,,14231.0,1.74319,0.818,8.3977,0.123871,5820.0,4.457,-0.06,0.964,0.971,1.83538,,,,761.46,1339.0,286.80847,49.316399,,,,,4304.3,544.1701,6468.04,14231.0,kepler
K00002.01,,CONFIRMED,2.204735417,0.0376,0.0,87.21,16.1,,,,,6674.7,3.88864,0.224,4.602,0.075522,6440.0,4.019,0.14,1.952,1.449,0.37936,,,,4148.92,2048.0,292.24728,47.969521,,,,,5945.9,232.27,3862.1846,6674.7,kepler
K00010.01,,CONFIRMED,3.522498429,0.0473,0.0,85.2,14.59,,,,,9145.7,3.19843,0.631,7.541,0.092086,6225.0,4.169,-0.04,1.451,1.132,0.65374,,,,1264.67,1521.0,281.28812,42.45108,,,,,1741.5,130.83832,1725.5824,9145.7,kepler
K00112.02,,CONFIRMED,3.709214104,0.0465,0.0,89.73,1.16,,,,,131.1,2.6302,0.051,10.888,0.010424,5833.0,4.407,-0.04,1.022,0.974,1.77451,,,,500.46,1206.0,295.64871,48.49556,,,,,50.6,4.8657312,41.28873,131.1,kepler
K00742.01,,FALSE POSITIVE,11.521446064,0.0978,0.0,83.13,150.51,,,,,17984.0,3.6399,2.483,20.75,1.625358,5795.0,4.554,-0.2,0.848,0.938,1.27376,,,,75.88,753.0,297.07993,47.597401,,,,,622.1,92.901566,628.3708,17984.0,kepler
K00743.01,,FALSE POSITIVE,19.40393776,0.123,0.0,84.93,7.18,,,,,8918.7,12.2155,0.804,9.099,0.096729,5043.0,4.591,-0.54,0.68,0.657,0.03785,,,,17.69,523.0,289.25821,47.635319,,,,,214.7,49.468765,320.90817,8918.7,kepler
K00744.01,,FALSE POSITIVE,19.221388942,0.1417,0.0,88.05,49.29,,,,,74284.0,4.79843,1.065,31.323,0.476633,6117.0,4.496,-0.22,0.947,1.025,1.57359,,,,55.97,698.0,295.81454,47.69035,,,,,2317.0,387.658,2174.4263,74284.0,kepler
K00745.01,,FALSE POSITIVE,16.46983774,0.1147,0.0,88.81,7.94,,,,,10479.0,9.4378,0.292,14.05,0.092509,5152.0,4.517,-0.2,0.786,0.741,0.19353,,,,29.61,595.0,297.15442,47.668701,,,,,303.4,43.1625,258.8247,10479.0,kepler
K00746.01,,CONFIRMED,9.27358173,0.0759,0.0,88.93,2.47,,,,,1288.3,3.2875,0.387,20.65,0.032563,4856.0,4.583,-0.3,0.696,0.676,1.93557,,,,41.85,649.0,288.13824,47.724449,,,,,87.2,9.616924,71.48005,1288.3,kepler
K00747.01,,CONFIRMED,6.02930329,0.0585,0.0,89.5,2.85,,,,,1912.7,1.5821,0.258,29.31,0.038838,4537.0,4.648,0.21,0.672,0.761,13.09803,,,,50.04,678.0,283.71088,47.86327,,,,,65.4,6.876831,52.36939,1912.7,kepler
K00748.01,,FALSE POSITIVE,2.696370652,0.0349,0.0,89.56,1.58,,,,,397.9,3.6129,0.044,5.827,0.017673,4989.0,4.504,0.1,0.819,0.781,0.51471,,,,305.34,1066.0,283.76547,47.804298,,,,,48.2,5.508401,34.570904,397.9,kepler
K00749.01,,CONFIRMED,5.349553819,0.0563,0.0,89.62,2.55,,,,,831.0,3.0278,0.092,13.8015,0.025706,5185.0,4.44,0.16,0.91,0.831,1.73782,,,,168.99,919.0,292.37613,47.880989,,,,,60.6,6.0370364,48.504196,831.0,kepler
K00749.02,,CONFIRMED,3.94105221,0.046,0.0,88.88,1.7,,,,,363.3,2.5984,0.226,11.51,0.017105,5185.0,4.44,0.16,0.91,0.831,1.85636,,,,253.15,1018.0,292.37613,47.880989,,,,,28.9,4.5118856,22.749151,363.3,kepler
K00749.03,,CONFIRMED,8.10904807,0.0743,0.0,89.92,1.3,,,,,217.4,3.596,0.025,17.46,0.013127,5185.0,4.44,0.16,0.91,0.831,1.5302,,,,97.03,800.0,292.37613,47.880989,,,,,14.1,4.434382,9.776852,217.4,kepler
K00113.01,,FALSE POSITIVE,386.6030528,1.0719,0.0,89.95,41.5,,,,,24927.0,6.8057,0.9765,332.0,0.240528,5543.0,4.081,0.44,1.58,1.103,4.63335,,,,1.84,297.0,292.27374,37.671558,,,,,994.0,,,24927.0,kepler
K00750.01,,CONFIRMED,21.67699193,0.1408,0.0,87.91,2.95,,,,,857.2,3.4555,0.896,24.6,0.032666,4954.0,4.5,0.18,0.828,0.791,0.60007,,,,18.64,530.0,290.46512,47.92918,,,,,34.3,5.911944,24.54073,857.2,kepler
K00751.01,,CONFIRMED,4.99677968,0.0559,0.0,86.9,2.78,,,,,934.7,2.1717,0.71,13.14,0.030014,5339.0,4.552,0.18,0.847,0.931,1.71827,,,,166.95,917.0,297.80826,47.946671,,,,,28.2,4.132564,24.283327,934.7,kepler
K00769.01,,CONFIRMED,4.280963604,0.0503,0.0,87.72,2.3,,,,,750.8,2.875,0.424,10.64,0.025377,5644.0,4.564,-0.14,0.831,0.928,1.24482,,,,247.87,1012.0,294.26581,49.314091,,,,,61.8,6.7006826,52.913242,750.8,kepler
K00770.01,,FALSE POSITIVE,1.50635409,0.025,0.0,79.38,4.53,,,,,2211.7,1.5155,0.86,4.67,0.049899,5714.0,4.563,-0.2,0.831,0.926,0.84722,,,,1054.12,1452.0,295.66522,49.351009,,,,,181.1,9.787732,130.6654,2211.7,kepler
K00771.01,,FALSE POSITIVE,670.645531,1.5155,0.0,89.53,14.14,,,,,18091.0,53.412,0.701,85.24,0.131705,5520.0,4.466,0.48,0.983,1.03,0.02605,,,,0.35,196.0,296.69861,49.316479,,,,,642.7,70.64302,96.96236,18091.0,kepler
K00772.01,,FALSE POSITIVE,61.2563628,0.3137,0.0,87.54,39.87,,,,,5123.3,7.633,1.248,29.1,0.334628,6144.0,4.402,0.0,1.091,1.093,0.12411,,,,15.43,505.0,283.72592,49.479519,,,,,85.3,31.079844,73.10389,5123.3,kepler
K00773.01,,CONFIRMED,38.3775486,0.2163,0.0,89.44,2.82,,,,,724.2,5.588,0.468,47.8,0.024901,5481.0,4.369,0.16,1.036,0.915,1.40588,,,,18.53,529.0,291.72202,49.480869,,,,,34.7,10.352898,31.946487,724.2,kepler
K00757.02,,CONFIRMED,41.19725502,0.217,0.0,89.96,3.86,,,,,2213.9,4.6297,0.045,70.75,0.041693,5031.0,4.485,0.16,0.848,0.801,3.9471,,,,8.76,439.0,286.99948,48.37579,,,,,51.2,11.918161,37.877567,2213.9,kepler
K00757.03,,CONFIRMED,6.252962249,0.0617,0.0,89.68,2.65,,,,,1036.9,2.5819,0.105,18.94,0.028604,5031.0,4.485,0.16,0.848,0.801,3.28707,,,,108.3,823.0,286.99948,48.37579,,,,,47.1,5.834264,35.96252,1036.9,kepler
K00758.01,,CONFIRMED,16.01308419,0.1148,0.0,88.14,3.1,,,,,1121.9,3.2554,0.799,24.7,0.034369,5015.0,4.499,0.1,0.826,0.785,1.10942,,,,29.31,593.0,297.02563,48.478588,,,,,33.2,8.468995,31.066507,1121.9,kepler
K00759.01,,CONFIRMED,32.62876672,0.1889,0.0,89.98,3.36,,,,,1804.8,4.7971,0.021,53.95,0.03852,5586.0,4.56,-0.3,0.798,0.844,2.79093,,,,15.55,506.0,285.71854,48.505859,,,,,80.0,14.0889,61.372303,1804.8,kepler
K00759.02,,CONFIRMED,91.7732862,0.3764,0.0,89.61,2.12,,,,,652.0,6.473,0.606,89.4,0.02432,5586.0,4.56,-0.3,0.798,0.844,1.60558,,,,3.92,359.0,285.71854,48.505859,,,,,19.1,6.9461374,14.678595,652.0,kepler
K00760.01,,CONFIRMED,4.959319244,0.0565,0.0,86.15,12.21,,,,,9802.0,2.22739,0.831,12.386,0.103379,5712.0,4.359,0.1,1.082,0.976,1.46169,,,,349.4,1103.0,292.16705,48.727589,,,,,696.5,58.764744,670.4895,9802.0,kepler
K00761.01,,FALSE POSITIVE,2.701287801,0.0365,0.0,62.69,6.54,,,,,860.4,3.3827,1.016,2.22,0.06584,5550.0,4.468,-0.04,0.91,0.889,0.02818,,,,527.81,1222.0,297.92365,48.777321,,,,,48.3,5.044661,39.745068,860.4,kepler
K00762.01,,CONFIRMED,4.49876511,0.0542,0.0,88.0,2.1,,,,,460.0,3.7362,0.312,8.95,0.019817,6075.0,4.486,-0.12,0.969,1.048,0.67106,,,,389.62,1133.0,298.45685,48.791592,,,,,29.5,4.435833,26.501581,460.0,kepler
K00763.01,,FALSE POSITIVE,19.651209505,0.1433,0.0,88.27,12.42,,,,,11766.0,5.2514,0.723,23.98,0.106953,6074.0,4.391,-0.12,1.063,1.014,0.67559,,,,67.03,730.0,291.0939,48.933842,,,,,513.4,85.46643,509.4985,11766.0,kepler
K00115.01,,CONFIRMED,5.412203927,0.0591,0.0,85.12,2.94,,,,,601.6,2.9472,0.787,9.25,0.024775,5779.0,4.339,-0.06,1.087,0.941,0.51087,,,,337.68,1093.0,287.88733,46.276241,,,,,166.7,46.475086,163.47614,601.6,kepler
K00764.01,,CONFIRMED,41.43958662,0.2288,0.0,89.31,5.5,,,,,2793.1,10.5989,0.355,29.47,0.048175,5468.0,4.367,0.22,1.046,0.93,0.28189,,,,16.72,516.0,295.55505,49.017342,,,,,141.1,27.788597,124.52492,2793.1,kepler
K00765.01,,CONFIRMED,8.35389523,0.0768,0.0,89.95,2.52,,,,,1041.6,2.2514,0.023,29.18,0.029305,5592.0,4.582,-0.28,0.787,0.862,6.73215,,,,91.9,790.0,285.49924,49.277351,,,,,43.4,5.6967807,36.34974,1041.6,kepler
K00766.01,,CONFIRMED,4.125543472,0.0529,0.0,85.95,4.43,,,,,1487.3,3.1744,0.597,8.45,0.036796,6174.0,4.417,0.1,1.103,1.162,0.67162,,,,565.35,1243.0,291.93616,49.253979,,,,,128.6,9.387555,94.70979,1487.3,kepler
K00767.01,,CONFIRMED,2.816504904,0.0383,0.0,89.37,12.21,,,,,16814.0,2.50587,0.105,9.571,0.117059,5532.0,4.452,0.14,0.955,0.941,2.09079,,,,521.13,1219.0,297.01547,49.225288,,,,,1406.8,104.64681,1328.3038,16814.0,kepler
K00768.01,,FALSE POSITIVE,33.93373447,0.1881,0.0,86.45,7.34,,,,,8503.7,14.561,0.812,13.12,0.095386,5040.0,4.628,-0.24,0.705,0.782,0.0371,,,,8.11,430.0,284.17233,49.360722,,,,,236.1,52.86124,193.4089,8503.7,kepler
K00786.01,,CONFIRMED,3.689920099,0.0469,0.0,89.19,1.89,,,,,426.7,2.6557,0.151,10.71,0.018878,5880.0,4.518,-0.06,0.917,1.01,1.70798,,,,408.99,1147.0,291.62241,50.61824,,,,,35.6,4.8750124,31.786789,426.7,kepler
K00787.01,,CONFIRMED,4.431238488,0.0529,0.0,87.72,3.25,,,,,1010.9,3.15,0.405,10.19,0.02933,5714.0,4.428,0.16,1.015,1.007,1.01996,,,,351.23,1104.0,295.81616,51.121738,,,,,71.1,6.815371,58.259056,1010.9,kepler
K00787.02,,CONFIRMED,11.37936986,0.0993,0.0,86.8,3.95,,,,,1023.5,2.6255,0.911,16.31,0.035628,5714.0,4.428,0.16,1.015,1.007,0.63438,,,,99.68,806.0,295.81616,51.121738,,,,,37.9,5.2506146,29.930164,1023.5,kepler
K00788.01,,CONFIRMED,26.39432897,0.1635,0.0,89.28,3.07,,,,,1510.9,3.573,0.602,47.7,0.03681,5129.0,4.595,0.02,0.763,0.846,2.93923,,,,13.49,489.0,289.39972,51.25032,,,,,48.2,8.917681,41.269753,1510.9,kepler
K00116.01,,CONFIRMED,13.57078281,0.1096,0.0,87.07,2.64,,,,,511.7,3.3539,0.866,16.93,0.023908,5854.0,4.406,-0.12,1.012,0.951,0.49865,,,,89.61,785.0,300.86398,44.337551,,,,,88.4,18.771214,76.76887,511.7,kepler
K00115.02,,CONFIRMED,7.12594387,0.0711,0.0,84.02,1.79,,,,,192.4,3.0014,0.898,8.62,0.01512,5779.0,4.339,-0.06,1.087,0.941,0.23879,,,,233.31,997.0,287.88733,46.276241,,,,,47.1,6.1814723,39.793564,192.4,kepler
K00774.01,,FALSE POSITIVE,7.442652004,0.0742,0.0,89.72,15.03,,,,,24446.0,2.3078,0.137,27.99,0.143936,6108.0,4.469,-0.3,0.956,0.981,7.48712,,,,206.78,967.0,288.98682,49.733742,,,,,835.6,115.64278,1044.7283,24446.0,kepler
K00775.01,,CONFIRMED,16.38489988,0.1084,0.0,90.0,2.0,,,,,1127.1,3.0249,0.001,42.62,0.029758,4126.0,4.661,0.04,0.615,0.633,5.4538,,,,8.35,433.0,286.73804,49.97575,,,,,28.9,6.419572,28.122635,1127.1,kepler
K00775.02,,CONFIRMED,7.8774163,0.0665,0.0,89.92,2.16,,,,,1306.1,2.0805,0.041,29.84,0.03209,4126.0,4.661,0.04,0.615,0.633,8.09685,,,,22.18,553.0,286.73804,49.97575,,,,,38.7,10.036489,41.450657,1306.1,kepler
K00775.03,,CONFIRMED,36.4454001,0.1847,0.0,89.98,1.99,,,,,1122.3,4.007,0.028,71.53,0.029681,4126.0,4.661,0.04,0.615,0.633,5.21237,,,,2.88,332.0,286.73804,49.97575,,,,,21.7,5.9903665,19.803268,1122.3,kepler
K00776.01,,CONFIRMED,3.728732147,0.0455,0.0,86.7,6.02,,,,,5226.5,2.683,0.558,9.7,0.068178,5497.0,4.577,-0.1,0.809,0.907,1.24118,,,,258.34,1023.0,290.78574,50.054119,,,,,345.2,28.264866,360.1958,5226.5,kepler
K00777.01,,CANDIDATE,40.4195037,0.2062,0.0,89.05,7.51,,,,,6256.0,3.362,0.911,54.7,0.088069,5446.0,4.507,-0.54,0.781,0.714,1.89549,,,,11.29,467.0,294.31686,50.080231,,,,,36.9,22.598503,94.071846,6256.0,kepler
K00778.01,,CONFIRMED,2.243380573,0.028,0.0,82.88,1.99,,,,,821.7,1.1196,0.915,7.38,0.032248,4149.0,4.698,-0.32,0.564,0.578,1.50915,,,,107.6,822.0,285.17621,50.149818,,,,,38.9,4.251499,30.578562,821.7,kepler
K00779.01,,FALSE POSITIVE,10.405998015,0.0855,0.0,88.57,11.23,,,,,14489.0,6.5036,0.324,13.012,0.111248,5746.0,4.393,-0.54,0.924,0.77,0.38489,,,,113.94,833.0,289.23553,50.241001,,,,,745.2,97.352005,691.1691,14489.0,kepler
K00780.01,,CONFIRMED,2.337437946,0.0325,0.0,88.19,2.34,,,,,971.2,1.9982,0.28,8.86,0.027998,5005.0,4.595,0.14,0.765,0.85,2.41093,,,,311.16,1070.0,293.83331,50.23035,,,,,82.4,6.0310416,63.58795,971.2,kepler
K00780.02,,CANDIDATE,7.2406612,0.0692,0.0,87.62,19.45,,,,,556.4,0.558,1.198,28.8,0.232818,5005.0,4.595,0.14,0.765,0.85,8.66412,,,,68.63,734.0,293.83331,50.23035,,,,,13.7,3.2751372,9.1666,556.4,kepler
K00115.03,,CANDIDATE,3.43591631,0.0437,0.0,84.62,0.55,,,,,23.2,3.133,0.624,6.65,0.004612,5779.0,4.339,-0.06,1.087,0.941,0.47024,,,,617.61,1272.0,287.88733,46.276241,,,,,8.7,3.8943021,7.4337807,23.2,kepler
K00781.01,,CONFIRMED,11.59822233,0.0798,0.0,88.62,2.65,,,,,2804.5,2.5237,0.679,28.2,0.051287,3688.0,4.79,0.0,0.473,0.503,3.14915,,,,5.82,396.0,296.22195,50.28722,,,,,71.0,11.461336,62.376225,2804.5,kepler
K00782.01,,CONFIRMED,6.575315881,0.067,0.0,88.03,5.31,,,,,2793.3,4.3084,0.39,11.37,0.049152,5992.0,4.415,-0.32,0.989,0.927,0.64392,,,,251.38,1015.0,290.09805,50.321609,,,,,221.1,20.537346,210.22159,2793.3,kepler
K00783.01,,CONFIRMED,7.275040844,0.0732,0.0,85.29,4.86,,,,,3001.0,7.5377,0.547,6.66,0.051358,5485.0,4.556,0.21,0.867,0.986,0.10578,,,,113.64,833.0,295.45529,50.49456,,,,,312.1,24.639503,234.95987,3001.0,kepler
K00784.01,,CONFIRMED,19.27153892,0.1171,0.0,89.97,1.93,,,,,1219.8,2.7594,0.031,55.02,0.031585,4077.0,4.702,-0.24,0.56,0.576,8.48241,,,,5.66,393.0,293.97336,50.53191,,,,,37.1,6.437265,28.490973,1219.8,kepler
K00784.02,,CONFIRMED,10.06524317,0.076,0.0,89.22,1.91,,,,,1053.3,1.369,0.628,45.9,0.031153,4077.0,4.702,-0.24,0.56,0.576,18.09666,,,,13.43,488.0,293.97336,50.53191,,,,,30.3,5.446764,21.658537,1053.3,kepler
K00785.01,,CONFIRMED,12.3935651,0.0983,0.0,86.13,2.66,,,,,916.6,3.8896,0.883,13.07,0.032536,5557.0,4.603,-0.4,0.75,0.832,0.27483,,,,49.68,677.0,296.02133,50.56778,,,,,35.8,5.6057496,31.608551,916.6,kepler
K00116.02,,CONFIRMED,43.84439721,0.2395,0.0,88.27,2.87,,,,,615.2,6.802,0.852,28.2,0.025934,5854.0,4.406,-0.12,1.012,0.951,0.22039,,,,18.77,531.0,300.86398,44.337551,,,,,83.7,16.554466,65.59482,615.2,kepler
K00798.01,,FALSE POSITIVE,3.341913228,0.0415,0.0,56.44,21.55,,,,,725.3,3.813,1.213,2.19,0.243351,5295.0,4.551,-0.02,0.811,0.853,0.01791,,,,268.67,1032.0,292.31595,38.27029,,,,,39.0,5.0937037,32.72262,725.3,kepler
K00799.01,,FALSE POSITIVE,1.626630225,0.026,0.0,58.03,32.43,,,,,1620.6,2.1145,1.26,2.38,0.305244,5735.0,4.41,-0.18,0.973,0.889,0.09631,,,,1355.88,1547.0,294.36819,38.31028,,,,,103.6,5.3061833,45.885685,1620.6,kepler
K00800.01,,CONFIRMED,2.711504086,0.0401,0.0,89.81,3.12,,,,,837.5,3.0099,0.023,7.088,0.026533,6214.0,4.442,0.07,1.076,1.169,0.91618,,,,960.79,1420.0,291.65353,38.494659,,,,,64.5,6.3430967,48.726124,837.5,kepler
K00800.02,,CONFIRMED,7.21203748,0.077,0.0,89.95,3.32,,,,,950.4,4.0491,0.012,14.003,0.028255,6214.0,4.442,0.07,1.076,1.169,0.99867,,,,260.58,1025.0,291.65353,38.494659,,,,,51.5,6.1683164,40.04205,950.4,kepler
K00789.01,,FALSE POSITIVE,14.1798187,0.1137,0.0,89.95,1.88,,,,,459.9,2.505,0.1601,43.54,0.019561,5799.0,4.539,-0.1,0.878,0.975,7.76746,,,,60.35,711.0,291.0448,51.321671,,,,,11.2,,,459.9,kepler
K00790.01,,CONFIRMED,8.47237911,0.0778,0.0,89.95,2.59,,,,,1123.5,2.7245,0.022,24.47,0.030119,5354.0,4.587,-0.08,0.788,0.884,3.86328,,,,75.44,751.0,296.36652,51.319519,,,,,47.6,5.7419868,39.867977,1123.5,kepler
K00790.02,,CONFIRMED,60.4189369,0.2884,0.0,89.94,2.36,,,,,931.3,5.039,0.094,93.71,0.027422,5354.0,4.587,-0.08,0.788,0.884,4.26444,,,,5.49,390.0,296.36652,51.319519,,,,,20.1,6.335456,15.139797,931.3,kepler
K00791.01,,CONFIRMED,12.611904345,0.1058,0.0,88.17,7.4,,,,,6105.6,5.1497,0.55,17.27,0.073758,5795.0,4.508,-0.02,0.919,0.992,0.61222,,,,76.15,753.0,289.11221,51.737381,,,,,277.2,31.536423,207.6196,6105.6,kepler
K00792.01,,FALSE POSITIVE,1.433769925,0.0256,0.0,58.99,46.58,,,,,1976.3,1.8868,1.268,2.46,0.318591,6017.0,4.22,0.02,1.339,1.083,0.1372,,,,3209.29,1920.0,290.84369,37.728828,,,,,112.6,10.709492,67.78838,1976.3,kepler
K00793.01,,FALSE POSITIVE,10.31872301,0.0944,0.0,78.15,28.59,,,,,871.7,3.836,1.215,5.92,0.247006,5927.0,4.409,0.07,1.06,1.05,0.03681,,,,139.26,876.0,291.84891,37.713501,,,,,38.2,9.854863,34.775192,871.7,kepler
K00794.01,,CONFIRMED,2.539183147,0.0355,0.0,88.28,2.06,,,,,382.1,2.4282,0.238,7.93,0.017724,5519.0,4.35,0.14,1.062,0.921,1.46261,,,,743.09,1332.0,291.43997,37.905659,,,,,38.9,4.680462,34.037075,382.1,kepler
K00795.01,,CONFIRMED,6.770300385,0.064,0.0,86.84,2.77,,,,,1304.0,2.0844,0.838,15.21,0.037414,5653.0,4.656,-0.84,0.679,0.767,1.45164,,,,102.87,812.0,290.87051,38.273628,,,,,50.8,6.5691905,43.840405,1304.0,kepler
K00796.01,,FALSE POSITIVE,0.444291966,0.0101,0.0,39.97,27.51,,,,,10967.0,2.0792,1.258,1.641,0.396105,5255.0,4.678,-0.72,0.636,0.709,0.42351,,,,2706.26,1836.0,290.99689,38.28492,,,,,299.7,40.64358,277.1132,10967.0,kepler
K00797.01,,CANDIDATE,10.181584004,0.0884,0.0,85.87,7.73,,,,,5741.1,3.5089,0.92,12.776,0.084708,5988.0,4.541,-0.52,0.836,0.885,0.38059,,,,102.91,812.0,291.28195,38.241669,,,,,183.6,27.099031,173.09894,5741.1,kepler
K00812.02,,CONFIRMED,20.06036336,0.115,0.0,89.21,1.96,,,,,1494.7,3.3203,0.556,40.4,0.036455,3950.0,4.754,-0.46,0.493,0.502,3.09445,,,,4.0,361.0,286.07913,39.27832,,,,,35.2,7.1802754,27.241827,1494.7,kepler
K00812.03,,CONFIRMED,46.1842039,0.2005,0.0,89.99,1.83,,,,,1394.7,4.758,0.013,76.67,0.033974,3950.0,4.754,-0.46,0.493,0.502,3.99779,,,,1.32,273.0,286.07913,39.27832,,,,,26.0,6.2605453,18.020908,1394.7,kepler
K00116.04,,CONFIRMED,23.9800854,0.1602,0.0,85.45,1.31,,,,,104.0,5.351,0.95,11.98,0.011879,5854.0,4.406,-0.12,1.012,0.951,0.05654,,,,41.94,649.0,300.86398,44.337551,,,,,17.1,4.1784496,10.87813,104.0,kepler
K00812.04,,CONFIRMED,7.82502168,0.0614,0.0,87.99,1.2,,,,,520.8,2.186,0.708,20.2,0.022312,3950.0,4.754,-0.46,0.493,0.502,2.54508,,,,14.05,494.0,286.07913,39.27832,,,,,15.9,3.8379083,12.582854,520.8,kepler
K00813.01,,CONFIRMED,3.895936525,0.046,0.0,87.56,7.34,,,,,8544.8,2.3111,0.524,12.29,0.08689,5557.0,4.592,-0.3,0.774,0.866,2.31292,,,,241.62,1005.0,294.65524,39.308361,,,,,370.8,35.58241,375.5263,8544.8,kepler
K00814.01,,CONFIRMED,22.36646466,0.1449,0.0,89.26,2.32,,,,,986.8,5.228,0.4,31.0,0.028938,5395.0,4.615,-0.34,0.734,0.821,1.12517,,,,19.45,536.0,294.71063,39.52174,,,,,32.1,6.2514634,25.599396,986.8,kepler
K00801.01,,CONFIRMED,1.625522174,0.0265,0.0,89.22,9.73,,,,,7969.0,2.38963,0.076,5.6364,0.080543,5539.0,4.322,0.16,1.106,0.935,1.28198,,,,1467.41,1579.0,293.87192,38.422939,,,,,799.7,43.135384,712.5235,7969.0,kepler
K00802.01,,CANDIDATE,19.620346923,0.1389,0.0,89.66,13.6,,,,,21725.0,2.0038,0.458,77.9,0.137595,5710.0,4.492,-0.1,0.905,0.928,23.21659,,,,40.39,643.0,293.81619,38.563568,,,,,340.5,73.60154,353.8584,21725.0,kepler
K00803.01,,FALSE POSITIVE,7.544039,0.0731,0.0,58.94,17.47,,,,,322.6,6.222,1.175,2.28,0.194187,5657.0,4.567,-0.18,0.824,0.919,0.00393,,,,116.46,838.0,293.94116,38.601101,,,,,14.2,4.5001316,12.162734,322.6,kepler
K00804.01,,CONFIRMED,9.02930689,0.0796,0.0,89.94,2.57,,,,,1019.8,3.1449,0.024,22.57,0.028718,5349.0,4.526,-0.12,0.82,0.824,2.66613,,,,77.75,757.0,290.33362,38.72823,,,,,53.9,7.610865,47.37303,1019.8,kepler
K00805.01,,FALSE POSITIVE,10.328035714,0.0888,0.0,88.54,13.28,,,,,16918.0,7.7915,0.281,10.988,0.118805,5627.0,4.359,-0.1,1.024,0.874,0.23528,,,,119.31,843.0,287.69675,38.886452,,,,,636.8,76.945915,589.42316,16918.0,kepler
K00806.01,,CONFIRMED,143.2063047,0.5336,0.0,89.83,8.9,,,,,10566.0,8.9302,0.379,125.8,0.094044,5485.0,4.556,0.21,0.867,0.986,1.83449,,,,2.14,308.0,285.28363,38.947281,,,,,138.8,45.13809,115.57215,10566.0,kepler
