host_name,planet_name,disposition,orbital_period_days,semi_major_axis_au,eccentricity,inclination_deg,planet_radius_re,planet_radius_rj,planet_mass_me,planet_mass_mj,planet_density_gcm3,transit_depth_ppm,tansit_duration_hrs,impact_parameter,a_over_rstar,radius_ratio,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_density_cgs,stellar_luminosity_lsun,stellar_age_gyr,stellar__rot_period_days,planet_insolation_earth,planet_eq_temp_k,ra_deg,dec_deg,pm_ra_masyr,pm_dec_masyr,parallax_mas,distance_pc,snr_model,snr_single_event,snr_multi_event,depth_source_unit,source_catalog
K04260.01,,FALSE POSITIVE,371.63327,1.042,0.0,89.38,1.83,,,,,107.0,14.92,0.8185,112.8,0.010556,5802.0,4.073,-0.2,1.59,1.08,0.1965,,,,2.36,316.0,286.39584,43.075821,,,,,15.2,,,107.0,kepler
K04261.01,,CONFIRMED,1.450889836,0.0252,0.0,86.85,1.21,,,,,135.7,1.753,0.333,6.07,0.010797,6046.0,4.423,-0.14,1.023,1.011,2.0073,,,,1970.75,1700.0,288.302,47.775551,,,,,15.7,3.4023921,13.255708,135.7,kepler
K02485.03,,CONFIRMED,5.72716067,0.0575,0.0,88.57,1.4,,,,,310.9,2.23,0.447,17.92,0.016114,4838.0,4.524,0.18,0.796,0.771,3.31866,,,,93.96,794.0,285.17334,48.770039,,,,,16.0,3.6353674,12.83305,310.9,kepler
K04328.01,,FALSE POSITIVE,407.59415,1.0289,0.0,89.95,2.11,,,,,462.4,7.3,0.0274,434.66,0.019805,6198.0,4.402,-0.68,0.974,0.872,9.35067,,,,1.18,266.0,291.69104,38.61499,,,,,7.7,,,462.4,kepler
K02579.03,,CANDIDATE,10.30148508,0.0954,0.0,88.61,1.6,,,,,162.7,3.903,0.445,18.34,0.011853,5887.0,4.292,0.16,1.235,1.09,1.10023,,,,180.14,934.0,293.98871,46.718021,,,,,12.6,3.20753,9.271536,162.7,kepler
K04329.01,,CANDIDATE,17.8007815,0.1423,0.0,83.51,1.02,,,,,44.5,6.547,0.928,8.21,0.007451,6240.0,4.326,0.14,1.252,1.214,0.03307,,,,105.04,816.0,289.01178,51.376019,,,,,14.2,4.4248457,11.049847,44.5,kepler
K04330.01,,FALSE POSITIVE,358.101884,0.9525,0.0,89.95,0.95,,,,,114.0,6.393,0.5804,354.0,0.010135,5786.0,4.526,-0.28,0.856,0.898,6.53276,,,,0.81,242.0,295.07507,44.382992,,,,,12.8,,,114.0,kepler
K04331.01,,CANDIDATE,1.717859841,0.0309,0.0,88.53,1.45,,,,,66.3,0.908,0.35,13.68,0.007668,6694.0,4.084,-0.22,1.732,1.333,16.40314,,,,5645.85,2212.0,290.81366,40.254875,,,,,9.5,3.2298417,12.698645,66.3,kepler
K04396.02,,FALSE POSITIVE,46.0771501,,,,,,,,,,3.03,,,,,,,,,,,,,,,291.36188,49.02198,,,,,,,,,kepler
K04396.03,,FALSE POSITIVE,42.62423329,,,,,,,,,,1.47,,,,,,,,,,,,,,,291.36188,49.02198,,,,,,,,,kepler
K04397.01,,FALSE POSITIVE,0.447861451,0.0112,0.0,83.47,1.42,,,,,265.4,0.8541,0.427,3.75,0.015358,5901.0,4.553,-0.3,0.848,0.938,4.98597,,,,6221.08,2263.0,294.48499,38.352859,,,,,20.3,3.482854,10.266926,265.4,kepler
K04398.01,,CANDIDATE,7.3422467,0.0724,0.0,89.47,1.6,,,,,366.8,2.029,0.253,27.25,0.017463,5573.0,4.562,-0.04,0.839,0.939,7.10408,,,,115.93,837.0,295.21127,41.086971,,,,,11.8,3.7123523,10.581186,366.8,kepler
K00647.02,,CANDIDATE,8.1134681,0.078,0.0,87.69,0.92,,,,,40.5,4.961,0.454,11.24,0.005948,6011.0,4.123,-0.3,1.409,0.963,0.40808,,,,381.27,1127.0,291.19507,40.702702,,,,,10.5,4.349658,8.437453,40.5,kepler
K02842.03,,CONFIRMED,3.036208739,0.0283,0.0,89.75,1.4,,,,,1820.5,0.9324,0.111,25.71,0.039143,3464.0,4.923,-0.14,0.328,0.328,34.87047,,,,17.31,520.0,282.25021,44.921108,,,,,26.0,4.2546854,18.237106,1820.5,kepler
K04192.01,,CONFIRMED,18.0541469,0.1327,0.0,89.67,1.51,,,,,283.1,4.587,0.175,30.07,0.015187,5505.0,4.501,0.16,0.909,0.955,1.57821,,,,38.57,635.0,290.58612,46.642689,,,,,19.3,6.7322097,15.734565,283.1,kepler
K02420.02,,CANDIDATE,5.4675514,0.0595,0.0,88.75,1.07,,,,,87.2,3.283,0.27,12.38,0.008485,5557.0,4.288,0.14,1.151,0.936,1.1995,,,,319.36,1078.0,288.58835,42.605659,,,,,10.4,3.25224,8.626607,87.2,kepler
K07689.01,,FALSE POSITIVE,1.01530474,0.0214,0.0,30.61,64.77,,,,,16445.0,8.7622,1.245,1.4465,0.411901,6428.0,4.226,0.08,1.44,1.273,0.05554,,,,6918.45,2324.0,295.88568,39.31599,,,,,1823.0,167.10258,2599.6948,16445.0,kepler
K04193.01,,FALSE POSITIVE,94.180473,0.417,0.0,88.63,4.17,,,,,1104.4,7.345,0.955,39.8,0.038195,6997.0,4.475,-0.5,1.0,1.155,0.13495,,,,12.34,478.0,293.20139,45.454399,,,,,15.6,6.8214674,14.03039,1104.4,kepler
K04194.01,,CONFIRMED,1.538185321,0.0241,0.0,82.28,1.29,,,,,277.2,1.683,0.7,5.21,0.016308,5107.0,4.615,-0.2,0.723,0.794,1.13128,,,,547.92,1234.0,297.95297,40.806808,,,,,15.2,5.759284,14.818893,277.2,kepler
K04195.01,,FALSE POSITIVE,1.332567643,0.0226,0.0,71.31,0.62,,,,,56.7,4.284,0.642,2.005,0.007244,5687.0,4.582,-0.34,0.79,0.882,0.08586,,,,1143.87,1482.0,295.22089,46.823879,,,,,24.0,3.8501568,17.033213,56.7,kepler
K04262.01,,FALSE POSITIVE,1.089076495,0.0214,0.0,78.76,0.75,,,,,43.7,2.274,0.597,3.06,0.006327,6444.0,4.416,-0.26,1.079,1.107,0.45747,,,,3923.24,2016.0,288.09009,46.322948,,,,,15.3,3.7762165,13.403226,43.7,kepler
K04263.01,,FALSE POSITIVE,1.662710314,0.0298,0.0,84.29,2.16,,,,,85.9,1.83,0.577,5.79,0.008824,6028.0,3.842,-0.06,2.244,1.276,1.33062,,,,6700.6,2307.0,296.20578,44.660446,,,,,23.8,5.5664544,18.271677,85.9,kepler
K07696.01,,FALSE POSITIVE,472.071079,1.2977,0.0,89.96,2.01,,,,,252.6,5.759,0.388,587.0,0.014666,6186.0,4.358,0.56,1.253,1.305,17.18439,,,,1.22,268.0,293.72528,39.511971,,,,,6.4,5.526179,7.266772,252.6,kepler
K04264.01,,CANDIDATE,0.888478095,0.0174,0.0,83.67,1.51,,,,,340.4,1.5312,0.452,4.1,0.01717,5553.0,4.577,-0.16,0.806,0.903,1.65071,,,,1825.96,1665.0,291.06168,51.404781,,,,,24.6,3.96835,14.613081,340.4,kepler
K04265.01,,FALSE POSITIVE,2.18242002,0.0314,0.0,76.0,0.7,,,,,69.7,4.103,0.721,2.98,0.008207,5808.0,4.583,-0.46,0.786,0.871,0.10519,,,,638.12,1283.0,293.42361,42.917641,,,,,13.8,3.6039338,13.799748,69.7,kepler
K04266.01,,FALSE POSITIVE,0.503999678,0.0103,0.0,72.01,2.97,,,,,975.6,0.5421,0.962,3.11,0.047859,4898.0,4.686,-1.16,0.568,0.57,2.24957,,,,1566.41,1605.0,293.95221,45.31826,,,,,96.8,4.0778275,10.537706,975.6,kepler
